INFO   | jvm 1    | 2013/12/28 14:01:57 | 102997033 2013-12-28 14:01:57,185 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:57 | 102997033 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:59 | 102999784 2013-12-28 14:01:59,936 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:59 | 102999784 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:01 | 103001336 2013-12-28 14:02:01,488 [KeepAlive [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:01 | 103001336 [KeepAlive [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:02 | 103002033 2013-12-28 14:02:02,185 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:02 | 103002033 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:07 | 103007034 2013-12-28 14:02:07,186 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:07 | 103007034 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:12 | 103012034 2013-12-28 14:02:12,186 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:12 | 103012034 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:14 | 103014785 2013-12-28 14:02:14,937 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:14 | 103014785 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:02:16 | 103016196 2013-12-28 14:02:16,348 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
